#Distancia emision (mm) 	 Distancia captura desde emision 	 Distancia captura en detector (mm)
4.8324832	6.1566157	10.9890989
0.3160316	10.2490249	10.5650565
2.7122712	8.0048005	10.7170717
2.6402640	7.8927893	10.5330533
1.9161916	9.7609761	11.6771677
0.4480448	10.1770177	10.6250625
0.4000400	10.1730173	10.5730573
4.6724672	7.1447145	11.8171817
0.1560156	10.3970397	10.5530553
1.7401740	8.9168917	10.6570657
3.2763276	7.2527253	10.5290529
1.2201220	0.8360836	2.0562056
4.8324832	7.2407241	12.0732073
0.3040304	1.2401240	1.5441544
0.7360736	9.8649865	10.6010601
3.3563356	7.2607261	10.6170617
0.1400140	2.0802080	2.2202220
2.4442444	8.5488549	10.9930993
2.7682768	10.4410441	13.2093209
3.3283328	7.9327933	11.2611261
3.4643464	7.2887289	10.7530753
1.1841184	1.9001900	3.0843084
2.4922492	5.6965697	8.1888189
1.4441444	9.1049105	10.5490549
2.9722972	7.5407541	10.5130513
0.4960496	10.0130013	10.5090509
0.7800780	1.6241624	2.4042404
4.8964896	0.0840084	4.9804980
2.0922092	8.4968497	10.5890589
2.6562656	8.7448745	11.4011401
2.7402740	7.8487849	10.5890589
1.9881988	8.9528953	10.9410941
2.7602760	8.0008001	10.7610761
2.9442944	8.9208921	11.8651865
0.3400340	10.1970197	10.5370537
4.5444544	6.7366737	11.2811281
2.9762976	7.6727673	10.6490649
3.7243724	6.9726973	10.6970697
3.1963196	8.3488349	11.5451545
3.0083008	7.6167617	10.6250625
2.8242824	7.7767777	10.6010601
0.9440944	10.2850285	11.2291229
2.9802980	8.3728373	11.3531353
2.5202520	1.8561856	4.3764376
1.6761676	9.0169017	10.6930693
0.3600360	11.2531253	11.6131613
4.6044604	6.4126413	11.0171017
4.5604560	6.0606061	10.6210621
2.6282628	8.0568057	10.6850685
4.2524252	6.7606761	11.0131013
3.3803380	7.4887489	10.8690869
2.3842384	0.0720072	2.4562456
4.6684668	7.2447245	11.9131913
1.7481748	8.8688869	10.6170617
0.7200720	2.1442144	2.8642864
1.1521152	9.7929793	10.9450945
1.9401940	8.5688569	10.5090509
2.3402340	8.5408541	10.8810881
0.9280928	10.4330433	11.3611361
3.4363436	7.0687069	10.5050505
0.5560556	10.5250525	11.0811081
2.7242724	7.7807781	10.5050505
4.2684268	6.2846285	10.5530553
3.8643864	4.1924192	8.0568057
0.2040204	4.4364436	4.6404640
0.1720172	10.4090409	10.5810581
1.7521752	9.0729073	10.8250825
3.4283428	7.7127713	11.1411141
0.9800980	1.7361736	2.7162716
4.4244424	7.0407041	11.4651465
0.8880888	10.6250625	11.5131513
4.8844884	6.5886589	11.4731473
2.9522952	4.9844984	7.9367937
2.7082708	8.5648565	11.2731273
3.2083208	7.6247625	10.8330833
1.1601160	9.5609561	10.7210721
2.1922192	9.0129013	11.2051205
3.9843984	1.0201020	5.0045005
