#Valores de X 	 AbsorptionProbability
0.7080708	0.9573475
0.7120712	0.9571118
0.7160716	0.9568761
0.7200720	0.9566405
0.7240724	0.9564049
0.7280728	0.9561694
0.7320732	0.9559340
0.7360736	0.9556986
0.7400740	0.9554633
0.7440744	0.9552280
0.7480748	0.9549928
0.7520752	0.9547576
0.7560756	0.9545225
0.7600760	0.9542875
0.7640764	0.9540525
0.7680768	0.9538176
0.7720772	0.9535827
0.7760776	0.9533479
0.7800780	0.9531132
0.7840784	0.9528785
0.7880788	0.9526439
0.7920792	0.9524093
0.7960796	0.9521748
0.8000800	0.9519403
0.8040804	0.9517059
0.8080808	0.9514716
0.8120812	0.9512373
0.8160816	0.9510031
0.8200820	0.9507689
0.8240824	0.9505348
0.8280828	0.9503007
0.8320832	0.9500667
0.8360836	0.9498328
0.8400840	0.9495989
0.8440844	0.9493651
0.8480848	0.9491313
0.8520852	0.9488976
0.8560856	0.9486640
0.8600860	0.9484304
0.8640864	0.9481968
0.8680868	0.9479634
0.8720872	0.9477299
0.8760876	0.9474966
0.8800880	0.9472633
0.8840884	0.9470300
0.8880888	0.9467968
0.8920892	0.9465637
0.8960896	0.9463306
0.9000900	0.9460976
0.9040904	0.9458646
0.9080908	0.9456317
0.9120912	0.9453989
0.9160916	0.9451661
0.9200920	0.9449334
0.9240924	0.9447007
0.9280928	0.9444681
0.9320932	0.9442355
0.9360936	0.9440030
0.9400940	0.9437706
0.9440944	0.9435382
0.9480948	0.9433058
0.9520952	0.9430736
0.9560956	0.9428414
0.9600960	0.9426092
0.9640964	0.9423771
0.9680968	0.9421450
0.9720972	0.9419131
0.9760976	0.9416811
0.9800980	0.9414493
0.9840984	0.9412174
0.9880988	0.9409857
0.9920992	0.9407540
0.9960996	0.9405223
1.0001000	0.9402907
1.0041004	0.9400592
1.0081008	0.9398277
1.0121012	0.9395963
1.0161016	0.9393650
1.0201020	0.9391336
1.0241024	0.9389024
1.0281028	0.9386712
1.0321032	0.9384401
1.0361036	0.9382090
1.0401040	0.9379780
1.0441044	0.9377470
1.0481048	0.9375161
1.0521052	0.9372853
1.0561056	0.9370545
1.0601060	0.9368237
1.0641064	0.9365931
1.0681068	0.9363624
1.0721072	0.9361319
1.0761076	0.9359014
1.0801080	0.9356709
1.0841084	0.9354405
1.0881088	0.9352102
1.0921092	0.9349799
1.0961096	0.9347497
1.1001100	0.9345195
1.1041104	0.9342894
1.1081108	0.9340593
1.1121112	0.9338294
1.1161116	0.9335994
1.1201120	0.9333695
1.1241124	0.9331397
1.1281128	0.9329099
1.1321132	0.9326802
1.1361136	0.9324506
1.1401140	0.9322210
1.1441144	0.9319914
1.1481148	0.9317619
1.1521152	0.9315325
1.1561156	0.9313031
1.1601160	0.9310738
1.1641164	0.9308445
1.1681168	0.9306153
1.1721172	0.9303862
1.1761176	0.9301571
1.1801180	0.9299280
1.1841184	0.9296991
1.1881188	0.9294701
1.1921192	0.9292413
1.1961196	0.9290125
1.2001200	0.9287837
1.2041204	0.9285550
1.2081208	0.9283264
1.2121212	0.9280978
1.2161216	0.9278693
1.2201220	0.9276408
1.2241224	0.9274124
1.2281228	0.9271840
1.2321232	0.9269557
1.2361236	0.9267275
1.2401240	0.9264993
1.2441244	0.9262711
1.2481248	0.9260430
1.2521252	0.9258150
1.2561256	0.9255871
1.2601260	0.9253591
1.2641264	0.9251313
1.2681268	0.9249035
1.2721272	0.9246757
1.2761276	0.9244481
1.2801280	0.9242204
1.2841284	0.9239929
1.2881288	0.9237653
1.2921292	0.9235379
1.2961296	0.9233105
1.3001300	0.9230831
1.3041304	0.9228558
1.3081308	0.9226286
1.3121312	0.9224014
1.3161316	0.9221743
1.3201320	0.9219472
1.3241324	0.9217202
1.3281328	0.9214932
1.3321332	0.9212663
1.3361336	0.9210395
1.3401340	0.9208127
1.3441344	0.9205859
1.3481348	0.9203593
1.3521352	0.9201326
1.3561356	0.9199061
1.3601360	0.9196796
1.3641364	0.9194531
1.3681368	0.9192267
1.3721372	0.9190004
1.3761376	0.9187741
1.3801380	0.9185478
1.3841384	0.9183217
1.3881388	0.9180955
1.3921392	0.9178695
1.3961396	0.9176435
1.4001400	0.9174175
1.4041404	0.9171916
1.4081408	0.9169658
1.4121412	0.9167400
1.4161416	0.9165142
1.4201420	0.9162886
1.4241424	0.9160629
1.4281428	0.9158374
1.4321432	0.9156119
1.4361436	0.9153864
1.4401440	0.9151610
1.4441444	0.9149357
1.4481448	0.9147104
1.4521452	0.9144851
1.4561456	0.9142600
1.4601460	0.9140348
1.4641464	0.9138098
1.4681468	0.9135848
1.4721472	0.9133598
1.4761476	0.9131349
1.4801480	0.9129101
1.4841484	0.9126853
1.4881488	0.9124605
1.4921492	0.9122359
1.4961496	0.9120112
1.5001500	0.9117867
1.5041504	0.9115622
1.5081508	0.9113377
1.5121512	0.9111133
1.5161516	0.9108889
1.5201520	0.9106647
1.5241524	0.9104404
