# X(mm) 	 Y(mm) 	 Z(mm) 	 color
-23.5652	-17.0888	27.5351	2
-25.2123	-18.2295	26.272	2
-26.8594	-19.3702	25.009	2
-28.5065	-20.5109	23.746	2
-30.1536	-21.6517	22.483	2
-31.8007	-22.7924	21.22	2
-33.4478	-23.9331	19.957	2
-35.0949	-25.0739	18.6939	2
3.8	-1	41.6458	2
2.94093	0.25128	43.4639	2
2.08187	1.50256	45.2821	2
1.2228	2.75384	47.1002	2
0.363734	4.00512	48.9184	2
-0.495333	5.2564	50.7366	2
-1.3544	6.50768	52.5547	2
-2.21347	7.75896	54.3729	2
-3.07253	9.01024	56.1911	2
-3.9316	10.2615	58.0092	2
-4.79067	11.5128	59.8274	2
-5.64973	12.7641	61.6456	2
-6.5088	14.0154	63.4637	2
-7.36787	15.2666	65.2819	2
-8.22693	16.5179	67.1	2
-9.086	17.7692	68.9182	2
-9.94507	19.0205	70.7364	2
-10.8041	20.2718	72.5545	2
-11.6632	21.523	74.3727	2
-12.5223	22.7743	76.1909	2
-5	3.4	51.0553	2
-3.48986	4.97384	50.1323	2
-1.97972	6.54768	49.2093	2
-0.469586	8.12152	48.2863	2
1.04055	9.69537	47.3633	2
2.55069	11.2692	46.4403	2
4.06083	12.843	45.5173	2
5.57097	14.4169	44.5943	2
7.0811	15.9907	43.6713	2
8.59124	17.5646	42.7483	2
10.1014	19.1384	41.8253	2
11.6115	20.7123	40.9023	2
13.1217	22.2861	39.9793	2
14.6318	23.8599	39.0563	2
16.1419	25.4338	38.1333	2
17.6521	27.0076	37.2103	2
19.1622	28.5815	36.2873	2
20.6723	30.1553	35.3643	2
22.1825	31.7291	34.4413	2
23.6926	33.303	33.5183	2
1.2	-2.8	36.244	2
2.05098	-2.50239	38.4341	2
2.90196	-2.20479	40.6243	2
3.75294	-1.90718	42.8144	2
4.60392	-1.60957	45.0045	2
5.4549	-1.31197	47.1947	2
6.30587	-1.01436	49.3848	2
7.15685	-0.716753	51.5749	2
8.00783	-0.419147	53.7651	2
8.85881	-0.12154	55.9552	2
9.70979	0.176067	58.1453	2
10.5608	0.473673	60.3355	2
11.4117	0.77128	62.5256	2
12.2627	1.06889	64.7157	2
13.1137	1.36649	66.9059	2
13.9647	1.6641	69.096	2
14.8157	1.96171	71.2861	2
15.6666	2.25931	73.4763	2
16.5176	2.55692	75.6664	2
17.3686	2.85453	77.8565	2
2.4	-0.6	30.668	2
1.39051	-1.17548	28.6042	2
0.381024	-1.75097	26.5404	2
-0.628464	-2.32645	24.4767	2
-1.63795	-2.90193	22.4129	2
-2.64744	-3.47741	20.3491	2
-3.65693	-4.0529	18.2853	2
-4.66642	-4.62838	16.2216	2
-5.6759	-5.20386	14.1578	2
-6.68539	-5.77934	12.094	2
-7.69488	-6.35483	10.0302	2
-8.70437	-6.93031	7.96646	2
-9.71386	-7.50579	5.90269	2
-10.7233	-8.08128	3.83891	2
-11.7328	-8.65676	1.77513	2
-12.7423	-9.23224	-0.288641	2
-13.7518	-9.80772	-2.35242	2
-14.7613	-10.3832	-4.41619	2
-15.7708	-10.9587	-6.47997	2
-16.7803	-11.5342	-8.54375	2
-2	-2.2	33.456	2
0.090258	-2.53408	32.3936	2
2.18052	-2.86815	31.3313	2
4.27077	-3.20223	30.2689	2
6.36103	-3.5363	29.2065	2
8.45129	-3.87038	28.1441	2
10.5415	-4.20446	27.0818	2
12.6318	-4.53853	26.0194	2
14.7221	-4.87261	24.957	2
16.8123	-5.20669	23.8947	2
18.9026	-5.54076	22.8323	2
20.9928	-5.87484	21.7699	2
23.0831	-6.20891	20.7075	2
25.1734	-6.54299	19.6452	2
27.2636	-6.87707	18.5828	2
29.3539	-7.21114	17.5204	2
31.4441	-7.54522	16.4581	2
33.5344	-7.8793	15.3957	2
35.6246	-8.21337	14.3333	2
37.7149	-8.54745	13.2709	2
1.2	-3.8	44.608	-2
0.391194	-3.72644	46.8328	-2
-0.417612	-3.65288	49.0576	-2
-1.22642	-3.57932	51.2825	-2
-2.03522	-3.50576	53.5073	-2
-2.84403	-3.43219	55.7321	-2
-3.65284	-3.35863	57.9569	-2
-4.46164	-3.28507	60.1818	-2
-5.27045	-3.21151	62.4066	-2
-6.07926	-3.13795	64.6314	-2
-6.88806	-3.06439	66.8562	-2
-7.69687	-2.99083	69.0811	-2
-8.50567	-2.91727	71.3059	-2
-9.31448	-2.84371	73.5307	-2
